,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
1979,8.14969E+17,8.14969E+17,12/30/2016,nicosantana83,"On topic of famous people , apparently stuff needs to be put in place for mental illness. What about non famous people ",['#depression'],"On topic of famous people , apparently stuff needs to be put in place for mental illness. What about non famous people #depression",0
1985,8.14966E+17,8.14966E+17,12/30/2016,ketaminesavedme,Tripped hard today! This is promising!   ,"['#ketamine', '#depression', '#bipolar']",Tripped hard today! This is promising! #ketamine #depression #bipolar,1
1995,8.14964E+17,8.14964E+17,12/30/2016,combatrrrock,if i'd known it was going to go from 78 & sunny yesterday to 61 & cloudy today i still wouldn't have done anything differently ,['#depression'],if i'd known it was going to go from 78 & sunny yesterday to 61 & cloudy today i still wouldn't have done anything differently #depression,0
2008,8.14961E+17,8.14961E+17,12/30/2016,innermetronome,"After reading about  in academia, I feel like secretly hanging up some posters about the topic around my old university ...",['#depression'],"After reading about #depression in academia, I feel like secretly hanging up some posters about the topic around my old university ...",0
2019,8.14959E+17,8.14959E+17,12/30/2016,imjust_human_,"You aren't worthless, you are priceless You are important to someone and they'd miss you if you were gone   ","['#depression', '#suicide', '#weallcare']","You aren't worthless, you are priceless You are important to someone and they'd miss you if you were gone #depression #suicide #weallcare",0
2041,8.15266E+17,8.15266E+17,12/31/2016,thesilverlineuk,"We are open all through this  for info, advice or even a chat: 0800 4 70 80 90    pic.twitter.com/0g6kGdIoPI","['#newyear', '#olderpeople', '#loneliness']","We are open all through this #NewYear for info, advice or even a chat: 0800 4 70 80 90 #olderpeople #loneliness  pic.twitter.com/0g6kGdIoPI",0
2055,8.15205E+17,8.15205E+17,12/31/2016,george98stefan,"40billion:   a well written, thought-provoking & mind illuminating book to unite, connect & save humanity â€¦",['#loneliness'],"40billion:  #Loneliness a well written, thought-provoking & mind illuminating book to unite, connect & save humanity â€¦",0
2057,8.15196E+17,8.15196E+17,12/31/2016,friendsfor_good,Happy New Year from !  We hope it is a year filled with joy and that we can work together to tackle  in Australia  pic.twitter.com/zMsgPqkfbi,"['#friendsforgood', '#loneliness']",Happy New Year from #FriendsForGood!  We hope it is a year filled with joy and that we can work together to tackle #loneliness in Australia  pic.twitter.com/zMsgPqkfbi,0
2058,8.15182E+17,8.15182E+17,12/31/2016,x_philosophy,"""Beautiful, delightful, noble, memorable, as is the world, I yet am well content in my shady crevice"" Christina Rossetti  ","['#poetry', '#loneliness']","""Beautiful, delightful, noble, memorable, as is the world, I yet am well content in my shady crevice"" Christina Rossetti #Poetry #Loneliness",0
2063,8.15151E+17,8.15151E+17,12/31/2016,shivmani88,Loneliness causes so much pain. Besides it teaches u how to overcome all the pains.   pic.twitter.com/gZA1jsFI54,"['#loneliness', '#lifelessons']",Loneliness causes so much pain. Besides it teaches u how to overcome all the pains. #Loneliness #LifeLessons pic.twitter.com/gZA1jsFI54,0
2071,8.15105E+17,8.15105E+17,12/31/2016,seacretalferez,Don't let panic and  cause you to say YES to someone when everything within you is saying NO!,['#loneliness'],Don't let panic and #loneliness cause you to say YES to someone when everything within you is saying NO!,0
2091,8.14992E+17,8.14992E+17,12/31/2016,charlie_hail,"Christmas means ""Love Actually"" for me.    ??¥ƒ??’”???­","['#tradition', '#love', '#loneliness']","Christmas means ""Love Actually"" for me. #tradition #love #loneliness ??¥ƒ??’”???­",0
2101,8.14945E+17,8.14945E+17,12/30/2016,iam_enyiegbulem,Not a new thing Am use to it  â€” feeling lonely,['#loneliness'],Not a new thing Am use to it #loneliness â€” feeling lonely,1
2116,8.14875E+17,8.14875E+17,12/30/2016,dodomattina,"What is the base of the power? When it can be definite ""power""?The loneliness or the company create it?   ","['#power', '#loneliness', '#fear']","What is the base of the power? When it can be definite ""power""?The loneliness or the company create it? #power #loneliness #Fear",0
2123,8.14856E+17,8.14856E+17,12/30/2016,cafecounsel,"People experience ,  in old age, for living alone or due to lack of close family ties and connections.  pic.twitter.com/dlGIALueNn","['#loneliness', '#depression', '#cafecounsel']","People experience #loneliness, #depression in old age, for living alone or due to lack of close family ties and connections. #cafecounsel pic.twitter.com/dlGIALueNn",0
2125,8.1485E+17,8.1485E+17,12/30/2016,chandra_bhs,"Is it a crime to have few friends, to be sensitive to overwhelming problems and injustice in the world? Hope no.  ","['#loneliness', '#introvert']","Is it a crime to have few friends, to be sensitive to overwhelming problems and injustice in the world? Hope no. #Loneliness #Introvert",0
2133,8.14819E+17,8.14819E+17,12/30/2016,faithfocusflow,God's  is the antidote to . He will never leave us. ,"['#presence', '#loneliness', '#alwayswithus']",God's #presence is the antidote to #loneliness. He will never leave us. #AlwaysWithUs,0
2142,8.14789E+17,8.14789E+17,12/30/2016,emmajjakobsen,I feel like people only ever text me when I'm sleeping  ,"['#loneliness', '#foreveralone']",I feel like people only ever text me when I'm sleeping #loneliness #foreveralone,0
2146,8.14774E+17,8.14774E+17,12/30/2016,philsimpson61,"So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday.   ","['#fml', '#loneliness', '#silentkiller']","So, apart from one 10 minute medical appointment, I haven't seen or spoken to another person since Sunday. #fml #loneliness #silentkiller",1
2157,8.14749E+17,8.14749E+17,12/30/2016,humanityfirstuk,"After the decorations come down,  remains issue for  Regular  makes a huge difference pic.twitter.com/8DMFzQqK3m","['#loneliness', '#olderpeople', '#contact']","After the decorations come down, #loneliness remains issue for #olderpeople Regular #contact makes a huge difference pic.twitter.com/8DMFzQqK3m",0
2169,8.14665E+17,8.14665E+17,12/30/2016,monday_mourner,"I have , but feel . ","['#friends', '#friendless', '#loneliness']","I have #friends, but feel #friendless. #loneliness",1
2170,8.14664E+17,8.14664E+17,12/30/2016,rasheedamaxmua," is REAL... and all I wanted was a ""Drake Hug"" ???©???©???©???”???”???”???”  pic.twitter.com/aE4zsPAx0p",['#loneliness'],"#Loneliness is REAL... and all I wanted was a ""Drake Hug"" ???©???©???©???”???”???”???”  pic.twitter.com/aE4zsPAx0p",0
2172,8.14653E+17,8.14653E+17,12/30/2016,mikemacconnell,To get close to another you have to take off your armor. It takes more  to be soft than tough.  reduces ,"['#courage', '#vulnerability', '#loneliness']",To get close to another you have to take off your armor. It takes more #courage to be soft than tough. #Vulnerability reduces #loneliness,0
2177,8.14621E+17,8.14621E+17,12/29/2016,bebuilt2love,Find the lost and the lonely. They need you.    pic.twitter.com/BtM7BpcUGQ,"['#loneliness', '#quote', '#inspirationalquote']",Find the lost and the lonely. They need you. #loneliness #quote #inspirationalquote pic.twitter.com/BtM7BpcUGQ,0
2187,8.14577E+17,8.14577E+17,12/29/2016,scollig,Travelling state of mind.     pic.twitter.com/3xKR0fgmET,"['#travelling', '#loneliness', '#train']",Travelling state of mind.  #travelling #loneliness #train pic.twitter.com/3xKR0fgmET,0
2190,8.14571E+17,8.14571E+17,12/29/2016,treezyxveou,just tryna talk to somone and they got to be confused about it huhhhhhhhh life it boring as hell ,['#loneliness'],just tryna talk to somone and they got to be confused about it huhhhhhhhh life it boring as hell #loneliness,0
2202,8.14533E+17,8.14533E+17,12/29/2016,chambers712,I wish I was successful with women ????   ,"['#eglbm', '#loneliness']",I wish I was successful with women ???? #EGLBM #loneliness #31,1
2206,8.14519E+17,8.14519E+17,12/29/2016,outdoormuckers, and the feeling of being unwanted is the most terrible .   Mother Teresa,"['#loneliness', '#poverty']",#Loneliness and the feeling of being unwanted is the most terrible #poverty.   Mother Teresa,0
2213,8.14487E+17,8.14487E+17,12/29/2016,thatnutcase,I just had another one of my breakdowns. I saw it coming. I've been feeling it for days. Back in isolation I go!  ,"['#depression', '#loneliness']",I just had another one of my breakdowns. I saw it coming. I've been feeling it for days. Back in isolation I go! #depression #loneliness,1
2214,8.14486E+17,8.14486E+17,12/29/2016,thatnutcase,I guess I'm just not the kind of person you wanna hang out with...  ,"['#loneliness', '#depression']",I guess I'm just not the kind of person you wanna hang out with... #loneliness #depression,1
2215,8.14486E+17,8.14486E+17,12/29/2016,thatnutcase,"I feel like I'm well-liked as well. I mean, I seriously doubt anyone would describe me as anything but kind.  ","['#loneliness', '#depression']","I feel like I'm well-liked as well. I mean, I seriously doubt anyone would describe me as anything but kind. #loneliness #depression",1
